1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 5C00000032990721
Is Mission Active?  true
Mission Start:  Wed Sep 12 11:07:00 PDT 2018
Sample Rate:  Every 10 minute(s)
Number of Mission Samples:  1003
Total Samples:  12611
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
9/18/18 1:27:00 AM,C,11
9/18/18 1:37:00 AM,C,10.5
9/18/18 1:47:00 AM,C,10.5
9/18/18 1:57:00 AM,C,10.5
9/18/18 2:07:00 AM,C,10.5
9/18/18 2:17:00 AM,C,10
9/18/18 2:27:00 AM,C,10
9/18/18 2:37:00 AM,C,10
9/18/18 2:47:00 AM,C,9.5
9/18/18 2:57:00 AM,C,9.5
9/18/18 3:07:00 AM,C,9.5
9/18/18 3:17:00 AM,C,9.5
9/18/18 3:27:00 AM,C,9.5
9/18/18 3:37:00 AM,C,9.5
9/18/18 3:47:00 AM,C,9.5
9/18/18 3:57:00 AM,C,9.5
9/18/18 4:07:00 AM,C,9.5
9/18/18 4:17:00 AM,C,9.5
9/18/18 4:27:00 AM,C,9.5
9/18/18 4:37:00 AM,C,9
9/18/18 4:47:00 AM,C,9
9/18/18 4:57:00 AM,C,8.5
9/18/18 5:07:00 AM,C,8.5
9/18/18 5:17:00 AM,C,8.5
9/18/18 5:27:00 AM,C,8.5
9/18/18 5:37:00 AM,C,8.5
9/18/18 5:47:00 AM,C,8.5
9/18/18 5:57:00 AM,C,8.5
9/18/18 6:07:00 AM,C,9
9/18/18 6:17:00 AM,C,9
9/18/18 6:27:00 AM,C,9.5
9/18/18 6:37:00 AM,C,9.5
9/18/18 6:47:00 AM,C,9.5
9/18/18 6:57:00 AM,C,9.5
9/18/18 7:07:00 AM,C,9.5
9/18/18 7:17:00 AM,C,9.5
9/18/18 7:27:00 AM,C,9.5
9/18/18 7:37:00 AM,C,10
9/18/18 7:47:00 AM,C,10
9/18/18 7:57:00 AM,C,10
9/18/18 8:07:00 AM,C,10.5
9/18/18 8:17:00 AM,C,11
9/18/18 8:27:00 AM,C,11.5
9/18/18 8:37:00 AM,C,12
9/18/18 8:47:00 AM,C,12.5
9/18/18 8:57:00 AM,C,13
9/18/18 9:07:00 AM,C,13.5
9/18/18 9:17:00 AM,C,14
9/18/18 9:27:00 AM,C,14.5
9/18/18 9:37:00 AM,C,15
9/18/18 9:47:00 AM,C,16
9/18/18 9:57:00 AM,C,16.5
9/18/18 10:07:00 AM,C,17.5
9/18/18 10:17:00 AM,C,20.5
9/18/18 10:27:00 AM,C,24
9/18/18 10:37:00 AM,C,27
9/18/18 10:47:00 AM,C,29.5
9/18/18 10:57:00 AM,C,31.5
9/18/18 11:07:00 AM,C,33
9/18/18 11:17:00 AM,C,34
9/18/18 11:27:00 AM,C,35.5
9/18/18 11:37:00 AM,C,37
9/18/18 11:47:00 AM,C,38.5
9/18/18 11:57:00 AM,C,40
9/18/18 12:07:00 PM,C,41.5
9/18/18 12:17:00 PM,C,42.5
9/18/18 12:27:00 PM,C,43.5
9/18/18 12:37:00 PM,C,44
9/18/18 12:47:00 PM,C,45
9/18/18 12:57:00 PM,C,46
9/18/18 1:07:00 PM,C,46.5
9/18/18 1:17:00 PM,C,47
9/18/18 1:27:00 PM,C,47
9/18/18 1:37:00 PM,C,47
9/18/18 1:47:00 PM,C,46.5
9/18/18 1:57:00 PM,C,46
9/18/18 2:07:00 PM,C,45.5
9/18/18 2:17:00 PM,C,44.5
9/18/18 2:27:00 PM,C,44
9/18/18 2:37:00 PM,C,43
9/18/18 2:47:00 PM,C,42
9/18/18 2:57:00 PM,C,41
9/18/18 3:07:00 PM,C,40
9/18/18 3:17:00 PM,C,39.5
9/18/18 3:27:00 PM,C,38.5
9/18/18 3:37:00 PM,C,37.5
9/18/18 3:47:00 PM,C,37
9/18/18 3:57:00 PM,C,36
9/18/18 4:07:00 PM,C,35.5
9/18/18 4:17:00 PM,C,35
9/18/18 4:27:00 PM,C,34
9/18/18 4:37:00 PM,C,33.5
9/18/18 4:47:00 PM,C,32.5
9/18/18 4:57:00 PM,C,32
9/18/18 5:07:00 PM,C,31.5
9/18/18 5:17:00 PM,C,30.5
9/18/18 5:27:00 PM,C,30
9/18/18 5:37:00 PM,C,29
9/18/18 5:47:00 PM,C,28.5
9/18/18 5:57:00 PM,C,27.5
9/18/18 6:07:00 PM,C,27
9/18/18 6:17:00 PM,C,26
9/18/18 6:27:00 PM,C,25
9/18/18 6:37:00 PM,C,24
9/18/18 6:47:00 PM,C,23
9/18/18 6:57:00 PM,C,21.5
9/18/18 7:07:00 PM,C,20
9/18/18 7:17:00 PM,C,19
9/18/18 7:27:00 PM,C,18
9/18/18 7:37:00 PM,C,17
9/18/18 7:47:00 PM,C,16.5
9/18/18 7:57:00 PM,C,16
9/18/18 8:07:00 PM,C,15.5
9/18/18 8:17:00 PM,C,15.5
9/18/18 8:27:00 PM,C,15.5
9/18/18 8:37:00 PM,C,15
9/18/18 8:47:00 PM,C,15
9/18/18 8:57:00 PM,C,15
9/18/18 9:07:00 PM,C,14.5
9/18/18 9:17:00 PM,C,14.5
9/18/18 9:27:00 PM,C,14
9/18/18 9:37:00 PM,C,14
9/18/18 9:47:00 PM,C,13.5
9/18/18 9:57:00 PM,C,13
9/18/18 10:07:00 PM,C,13
9/18/18 10:17:00 PM,C,13
9/18/18 10:27:00 PM,C,13
9/18/18 10:37:00 PM,C,13
9/18/18 10:47:00 PM,C,13.5
9/18/18 10:57:00 PM,C,13
9/18/18 11:07:00 PM,C,13
9/18/18 11:17:00 PM,C,12.5
9/18/18 11:27:00 PM,C,12.5
9/18/18 11:37:00 PM,C,12
9/18/18 11:47:00 PM,C,12
9/18/18 11:57:00 PM,C,12
9/19/18 12:07:00 AM,C,12
9/19/18 12:17:00 AM,C,12
9/19/18 12:27:00 AM,C,12
9/19/18 12:37:00 AM,C,11.5
9/19/18 12:47:00 AM,C,11.5
9/19/18 12:57:00 AM,C,11.5
9/19/18 1:07:00 AM,C,12
9/19/18 1:17:00 AM,C,12
9/19/18 1:27:00 AM,C,12
9/19/18 1:37:00 AM,C,11.5
9/19/18 1:47:00 AM,C,11.5
9/19/18 1:57:00 AM,C,11.5
9/19/18 2:07:00 AM,C,11.5
9/19/18 2:17:00 AM,C,11
9/19/18 2:27:00 AM,C,11
9/19/18 2:37:00 AM,C,10.5
9/19/18 2:47:00 AM,C,10.5
9/19/18 2:57:00 AM,C,10.5
9/19/18 3:07:00 AM,C,10.5
9/19/18 3:17:00 AM,C,10
9/19/18 3:27:00 AM,C,10
9/19/18 3:37:00 AM,C,10
9/19/18 3:47:00 AM,C,10
9/19/18 3:57:00 AM,C,10
9/19/18 4:07:00 AM,C,10
9/19/18 4:17:00 AM,C,10
9/19/18 4:27:00 AM,C,10
9/19/18 4:37:00 AM,C,9.5
9/19/18 4:47:00 AM,C,9.5
9/19/18 4:57:00 AM,C,9.5
9/19/18 5:07:00 AM,C,9.5
9/19/18 5:17:00 AM,C,9.5
9/19/18 5:27:00 AM,C,9.5
9/19/18 5:37:00 AM,C,9.5
9/19/18 5:47:00 AM,C,9.5
9/19/18 5:57:00 AM,C,9.5
9/19/18 6:07:00 AM,C,9.5
9/19/18 6:17:00 AM,C,9
9/19/18 6:27:00 AM,C,9
9/19/18 6:37:00 AM,C,9
9/19/18 6:47:00 AM,C,9
9/19/18 6:57:00 AM,C,9.5
9/19/18 7:07:00 AM,C,10
9/19/18 7:17:00 AM,C,11.5
9/19/18 7:27:00 AM,C,13
9/19/18 7:37:00 AM,C,14
9/19/18 7:47:00 AM,C,15
9/19/18 7:57:00 AM,C,16
9/19/18 8:07:00 AM,C,17
9/19/18 8:17:00 AM,C,17.5
9/19/18 8:27:00 AM,C,18.5
9/19/18 8:37:00 AM,C,18
9/19/18 8:47:00 AM,C,17
9/19/18 8:57:00 AM,C,16.5
9/19/18 9:07:00 AM,C,17.5
9/19/18 9:17:00 AM,C,17.5
9/19/18 9:27:00 AM,C,17.5
9/19/18 9:37:00 AM,C,17
9/19/18 9:47:00 AM,C,17
9/19/18 9:57:00 AM,C,17
9/19/18 10:07:00 AM,C,18
