1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 5C00000032990721
Is Mission Active?  true
Mission Start:  Wed Sep 19 10:29:00 PDT 2018
Sample Rate:  Every 10 minute(s)
Number of Mission Samples:  996
Total Samples:  13608
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
9/25/18 12:29:00 PM,C,42.5
9/25/18 12:39:00 PM,C,44.5
9/25/18 12:49:00 PM,C,46
9/25/18 12:59:00 PM,C,47
9/25/18 1:09:00 PM,C,48.5
9/25/18 1:19:00 PM,C,49.5
9/25/18 1:29:00 PM,C,50
9/25/18 1:39:00 PM,C,50.5
9/25/18 1:49:00 PM,C,51
9/25/18 1:59:00 PM,C,50.5
9/25/18 2:09:00 PM,C,49
9/25/18 2:19:00 PM,C,47
9/25/18 2:29:00 PM,C,45
9/25/18 2:39:00 PM,C,43.5
9/25/18 2:49:00 PM,C,42
9/25/18 2:59:00 PM,C,41
9/25/18 3:09:00 PM,C,39.5
9/25/18 3:19:00 PM,C,39
9/25/18 3:29:00 PM,C,37.5
9/25/18 3:39:00 PM,C,36
9/25/18 3:49:00 PM,C,35.5
9/25/18 3:59:00 PM,C,34.5
9/25/18 4:09:00 PM,C,33
9/25/18 4:19:00 PM,C,32.5
9/25/18 4:29:00 PM,C,32
9/25/18 4:39:00 PM,C,31
9/25/18 4:49:00 PM,C,30.5
9/25/18 4:59:00 PM,C,30
9/25/18 5:09:00 PM,C,29
9/25/18 5:19:00 PM,C,28
9/25/18 5:29:00 PM,C,27.5
9/25/18 5:39:00 PM,C,26.5
9/25/18 5:49:00 PM,C,26
9/25/18 5:59:00 PM,C,25
9/25/18 6:09:00 PM,C,24
9/25/18 6:19:00 PM,C,23.5
9/25/18 6:29:00 PM,C,22.5
9/25/18 6:39:00 PM,C,21.5
9/25/18 6:49:00 PM,C,20.5
9/25/18 6:59:00 PM,C,20
9/25/18 7:09:00 PM,C,19.5
9/25/18 7:19:00 PM,C,19
9/25/18 7:29:00 PM,C,18
9/25/18 7:39:00 PM,C,18
9/25/18 7:49:00 PM,C,17.5
9/25/18 7:59:00 PM,C,17
9/25/18 8:09:00 PM,C,16.5
9/25/18 8:19:00 PM,C,16.5
9/25/18 8:29:00 PM,C,16.5
9/25/18 8:39:00 PM,C,16
9/25/18 8:49:00 PM,C,16
9/25/18 8:59:00 PM,C,15.5
9/25/18 9:09:00 PM,C,15.5
9/25/18 9:19:00 PM,C,15
9/25/18 9:29:00 PM,C,15
9/25/18 9:39:00 PM,C,14.5
9/25/18 9:49:00 PM,C,14.5
9/25/18 9:59:00 PM,C,14
9/25/18 10:09:00 PM,C,13.5
9/25/18 10:19:00 PM,C,13.5
9/25/18 10:29:00 PM,C,13.5
9/25/18 10:39:00 PM,C,13
9/25/18 10:49:00 PM,C,13
9/25/18 10:59:00 PM,C,13
9/25/18 11:09:00 PM,C,13
9/25/18 11:19:00 PM,C,13
9/25/18 11:29:00 PM,C,12.5
9/25/18 11:39:00 PM,C,12.5
9/25/18 11:49:00 PM,C,12.5
9/25/18 11:59:00 PM,C,12.5
9/26/18 12:09:00 AM,C,12.5
9/26/18 12:19:00 AM,C,12.5
9/26/18 12:29:00 AM,C,12.5
9/26/18 12:39:00 AM,C,12.5
9/26/18 12:49:00 AM,C,12.5
9/26/18 12:59:00 AM,C,13
9/26/18 1:09:00 AM,C,13.5
9/26/18 1:19:00 AM,C,14.5
9/26/18 1:29:00 AM,C,15
9/26/18 1:39:00 AM,C,16
9/26/18 1:49:00 AM,C,16
9/26/18 1:59:00 AM,C,16.5
9/26/18 2:09:00 AM,C,17
9/26/18 2:19:00 AM,C,17
9/26/18 2:29:00 AM,C,17
9/26/18 2:39:00 AM,C,17
9/26/18 2:49:00 AM,C,17
9/26/18 2:59:00 AM,C,17
9/26/18 3:09:00 AM,C,17
9/26/18 3:19:00 AM,C,17
9/26/18 3:29:00 AM,C,17
9/26/18 3:39:00 AM,C,17
9/26/18 3:49:00 AM,C,17
9/26/18 3:59:00 AM,C,17
9/26/18 4:09:00 AM,C,17
9/26/18 4:19:00 AM,C,17
9/26/18 4:29:00 AM,C,17
9/26/18 4:39:00 AM,C,16.5
9/26/18 4:49:00 AM,C,16.5
9/26/18 4:59:00 AM,C,16.5
9/26/18 5:09:00 AM,C,16
9/26/18 5:19:00 AM,C,15.5
9/26/18 5:29:00 AM,C,15.5
9/26/18 5:39:00 AM,C,15
9/26/18 5:49:00 AM,C,14.5
9/26/18 5:59:00 AM,C,14
9/26/18 6:09:00 AM,C,13.5
9/26/18 6:19:00 AM,C,14.5
9/26/18 6:29:00 AM,C,15
9/26/18 6:39:00 AM,C,15.5
9/26/18 6:49:00 AM,C,15
9/26/18 6:59:00 AM,C,15
9/26/18 7:09:00 AM,C,14.5
9/26/18 7:19:00 AM,C,14.5
9/26/18 7:29:00 AM,C,15
9/26/18 7:39:00 AM,C,16
9/26/18 7:49:00 AM,C,16.5
9/26/18 7:59:00 AM,C,17
9/26/18 8:09:00 AM,C,17.5
9/26/18 8:19:00 AM,C,18.5
